genre_ids,id,overview,popularity,release_date,title,vote_average,vote_count,imdb_id
"[18, 27, 53]",10242,"Two aging film actresses live as virtual recluses in an old Hollywood mansion. Jane Hudson, a successful child star, cares for her crippled sister Blanche, whose career in later years eclipsed that of Jane. Now the two live together, their relationship affected by simmering subconscious thoughts of mutual envy, hate and revenge.",7.190807,1962-10-31,What Ever Happened to Baby Jane?,8.0,281,tt0056687
"[28, 80, 18, 53]",111,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",26.142302,1983-12-08,Scarface,8.0,3786,tt0086250
"[80, 18, 9648, 53]",996,"A rich woman [Barbara Stanwyck] and a calculating insurance agent [Fred MacMurray] plot to kill her unsuspecting husband after he signs a double indemnity policy.  Against a backdrop of distinctly Californian settings, the partners in crime plan the perfect murder to collect the insurance, which pays  double if the death is accidental.  Directed by Billy Wilder from a screenplay he wrote with Raymond Chandler, and from the novel by James M. Cain.",11.373146,1944-04-24,Double Indemnity,8.0,523,tt0036775
"[16, 10751, 10749]",140420,An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.,8.105947,2012-11-02,Paperman,8.0,866,tt2388725
"[18, 53, 80]",1422,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",29.059062,2006-10-05,The Departed,8.0,5491,tt0407887
"[878, 12, 18, 14]",317182,"The Doctor and Clara face their Last Christmas. Trapped on an Arctic base, under attack from terrifying creatures, who are you going to call? Santa Claus!",5.509929,2014-12-25,Doctor Who: Last Christmas,8.0,110,tt4050552
"[80, 18]",654,"Terry Malloy dreams about being a prize fighter, while tending his pigeons and running errands at the docks for Johnny Friendly, the corrupt boss of the dockers union. Terry witnesses a murder by two of Johnny's thugs, and later meets the dead man's sister and feels responsible for his death. She introduces him to Father Barry, who tries to force him to provide information for the courts that will smash the dock racketeers.",11.246261,1954-06-22,On the Waterfront,8.0,464,tt0047296
"[80, 18]",595,"Scout Finch, 6, and her older brother Jem live in sleepy Maycomb, Alabama, spending much of their time with their friend Dill and spying on their reclusive and mysterious neighbor, Boo Radley. When Atticus, their widowed father and a respected lawyer, defends a black man named Tom Robinson against fabricated rape charges, the trial and tangent events expose the children to evils of racism and stereotyping.",20.219155,1962-12-25,To Kill a Mockingbird,8.0,887,tt0056592
"[18, 10752]",600,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,28.694362,1987-06-26,Full Metal Jacket,8.0,3375,tt0093058
"[16, 35, 878]",303867,A little girl is taken on a mind-bending tour of her distant future.,6.505658,2015-01-22,World of Tomorrow,8.0,122,tt4171032
"[35, 18]",10098,"Considered one of Charlie Chaplin's best films, The Kid also made a star of little Jackie Coogan, who plays a boy cared for by The Tramp when he's abandoned by his mother, Edna. Later, Edna has a change of heart and aches to be reunited with her son. When she finds him and wrests him from The Tramp, it makes for what turns out be one of the most heart-wrenching scenes ever included in a comedy.",7.72014,1921-01-21,The Kid,8.0,521,tt0012349
"[35, 10749, 18, 10402]",369557,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,8.230734,2016-03-11,Sing Street,8.0,843,tt3544112
"[18, 28, 53, 10752]",16869,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",31.691528,2009-08-18,Inglourious Basterds,8.0,8263,tt0361748
"[18, 10749]",289,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",24.885489,1942-11-26,Casablanca,8.0,1815,tt0034583
"[16, 35, 18, 10751]",293299,"This Oscar-winning animated short film tells the story of one man's love life as seen through the eyes of his best friend and dog, Winston, and revealed bite by bite through the meals they share.",7.453445,2014-11-07,Feast,8.0,477,tt3689498
"[53, 9648]",1092,"Set in postwar Vienna, Austria, ""The Third Man"" stars Joseph Cotten as Holly Martins, a writer of pulp Westerns, who arrives penniless as a guest of his childhood chum Harry Lime, only to find him dead. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Maj. Calloway and falling head-over-heels for Harry's grief-stricken lover, Anna.",12.472586,1949-08-31,The Third Man,8.0,542,tt0041959
"[16, 10751]",83564,"A young boy comes of age in the most peculiar of circumstances. Tonight is the very first time his Papa and Grandpa are taking him to work. In an old wooden boat they row far out to sea, and with no land in sight, they stop and wait. A big surprise awaits the boy as he discovers his family's most unusual line of work. Should he follow the example of his Papa, or his Grandpa? Will he be able to find his own way in the midst of their conflicting opinions and timeworn traditions?",7.250669,2011-01-01,La luna,8.0,298,tt1957945
"[28, 878]",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",34.244726,1999-03-30,The Matrix,8.0,10644,tt0133093
"[35, 18]",120467,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",30.401742,2014-02-26,The Grand Budapest Hotel,8.0,5781,tt2278388
"[18, 35, 10749]",28971,A fading music hall comedian tries to help a despondent ballet dancer learn to walk and to again feel confident about life.,7.377023,1952-10-31,Limelight,8.0,132,tt0044837
"[878, 18, 10749]",38,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",24.131803,2004-03-19,Eternal Sunshine of the Spotless Mind,8.0,4799,tt0338013
"[28, 12, 18, 37]",3090,"Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.",9.14761,1948-01-24,The Treasure of the Sierra Madre,8.0,361,tt0040897
